scope   sparsity strategy     val_ppl  pk_exact  pk_digit  actual_sp  eff_params  wall_s
----------------------------------------------------------------------------------------
all         0.00 oneshot         4.92     1.000     1.000      0.000   3,224,320     1.3
all         0.30 oneshot         5.20     1.000     1.000      0.300   2,280,600     1.0
all         0.30 ft_short        4.97     1.000     1.000      0.300   2,280,600    18.1
all         0.30 ft_long         5.18     1.000     1.000      0.300   2,280,600    65.9
all         0.30 iterative       5.23     1.000     1.000      0.300   2,280,600    65.5
all         0.50 oneshot         7.50     1.000     1.000      0.500   1,651,456     1.0
all         0.50 ft_short        4.92     1.000     1.000      0.500   1,651,456    17.0
all         0.50 ft_long         5.10     1.000     1.000      0.500   1,651,456    65.8
all         0.50 iterative       5.31     1.000     1.000      0.500   1,651,456    98.5
all         0.70 oneshot        26.69     0.096     0.644      0.700   1,022,312     1.0
all         0.70 ft_short        4.89     1.000     1.000      0.700   1,022,312    17.2
all         0.70 ft_long         4.89     1.000     1.000      0.700   1,022,312    65.2
all         0.70 iterative       5.08     1.000     1.000      0.700   1,022,312   128.7
all         0.80 oneshot        41.22     0.000     0.121      0.800     707,736     1.0
all         0.80 ft_short        5.24     1.000     1.000      0.800     707,736    16.7
all         0.80 ft_long         4.86     1.000     1.000      0.800     707,736    63.7
all         0.80 iterative       5.03     1.000     1.000      0.800     707,736   130.8
all         0.90 oneshot        62.06     0.000     0.099      0.900     393,168     1.0
all         0.90 ft_short        7.55     0.000     0.115      0.900     393,168    17.1
all         0.90 ft_long         5.63     0.984     0.996      0.900     393,168    64.5
all         0.90 iterative       5.39     1.000     1.000      0.900     393,168   159.2
all         0.95 oneshot       534.00     0.000     0.100      0.950     235,880     1.0
all         0.95 ft_short       11.69     0.000     0.111      0.950     235,880    17.0
all         0.95 ft_long         7.51     0.000     0.100      0.950     235,880    64.5
all         0.95 iterative       7.14     0.000     0.110      0.950     235,880   163.0
